2014-05-15 11:00:00,   3
2014-05-15 11:15:00,  45
2014-05-15 11:30:00,  60
2014-05-15 11:45:00,  51
2014-05-15 12:00:00,  36
2014-05-15 12:15:00,  27
2014-05-15 12:30:00,  45
2014-05-15 12:45:00,  42
2014-05-15 13:00:00,  33
2014-05-15 13:15:00,  30
2014-05-15 13:30:00,  24
2014-05-15 13:45:00,  30
2014-05-15 14:00:00,  21
2014-05-15 14:15:00,  12
2014-05-15 14:30:00,  52
2014-05-15 14:45:00,  38
2014-05-15 15:00:00,  48
2014-05-15 15:15:00,  39
2014-05-15 15:30:00,  36
2014-05-15 15:45:00,  30
2014-05-15 16:00:00,  48
2014-05-15 16:15:00,  45
2014-05-15 16:30:00,  48
2014-05-15 16:45:00,  24
2014-05-15 17:00:00,  24
2014-05-15 17:15:00,  42
2014-05-15 17:30:00,  21
2014-05-15 17:45:00,  12
2014-05-15 18:00:00,  21
2014-05-15 18:15:00,  24
2014-05-15 18:30:00,  24
2014-05-15 18:45:00,  21
2014-05-15 19:00:00,  21
2014-05-15 19:15:00,  21
2014-05-15 19:30:00,  18
2014-05-15 19:45:00,  30
2014-05-15 20:00:00,  12
2014-05-15 20:15:00,  20
2014-05-15 20:30:00,  16
2014-05-15 20:45:00,  24
2014-05-15 21:00:00,  36
2014-05-15 21:15:00,  30
2014-05-15 21:30:00,  12
2014-05-15 21:45:00,  26
2014-05-15 22:00:00,  32
2014-05-15 22:15:00,  10
2014-05-15 22:30:00,  30
2014-05-15 22:45:00,  16
2014-05-15 23:00:00,  24
2014-05-15 23:15:00,  42
2014-05-15 23:30:00,  16
2014-05-15 23:45:00,  26
2014-05-16 00:00:00,  20
2014-05-16 00:15:00,  18
2014-05-16 00:30:00,  18
2014-05-16 00:45:00,  10
2014-05-16 01:00:00,   0
2014-05-16 01:15:00,   4
2014-05-16 01:30:00,   4
2014-05-16 01:45:00,   0
2014-05-16 02:00:00,   2
2014-05-16 02:15:00,   6
2014-05-16 02:30:00,   2
2014-05-16 02:45:00,   4
2014-05-16 03:00:00,   0
2014-05-16 03:15:00,   0
2014-05-16 03:30:00,   4
2014-05-16 03:45:00,   4
2014-05-16 04:00:00,   0
2014-05-16 04:15:00,   2
2014-05-16 04:30:00,   4
2014-05-16 04:45:00,   0
2014-05-16 05:00:00,   0
2014-05-16 05:15:00,   0
2014-05-16 05:30:00,   0
2014-05-16 05:45:00,   0
2014-05-16 06:00:00,   0
2014-05-16 06:15:00,   0
2014-05-16 06:30:00,   2
2014-05-16 06:45:00,   2
2014-05-16 07:00:00,   0
2014-05-16 07:15:00,   0
2014-05-16 07:30:00,   2
2014-05-16 07:45:00,   6
2014-05-16 08:00:00,  12
2014-05-16 08:15:00,   8
2014-05-16 08:30:00,  18
2014-05-16 08:45:00,  34
2014-05-16 09:00:00,  22
2014-05-16 09:15:00,  22
2014-05-16 09:30:00,  18
2014-05-16 09:45:00,  34
2014-05-16 10:00:00,  32
2014-05-16 10:15:00,  36
2014-05-16 10:30:00,  40
2014-05-16 10:45:00,  46
2014-05-16 11:00:00,  32
2014-05-16 11:15:00,  42
2014-05-16 11:30:00,  30
2014-05-16 11:45:00,  30
2014-05-16 12:00:00,  26
2014-05-16 12:15:00,  26
2014-05-16 12:30:00,  28
2014-05-16 12:45:00,  28
2014-05-16 13:00:00,  28
2014-05-16 13:15:00,  32
2014-05-16 13:30:00,  30
2014-05-16 13:45:00,  38
2014-05-16 14:00:00,  16
2014-05-16 14:15:00,  22
2014-05-16 14:30:00,  26
2014-05-16 14:45:00,  26
2014-05-16 15:00:00,  22
2014-05-16 15:15:00,  24
2014-05-16 15:30:00,  24
2014-05-16 15:45:00,  34
2014-05-16 16:00:00,  12
2014-05-16 16:15:00,  32
2014-05-16 16:30:00,  48
2014-05-16 16:45:00,  28
2014-05-16 17:00:00,  34
2014-05-16 17:15:00,  40
2014-05-16 17:30:00,  18
2014-05-16 17:45:00,  16
2014-05-16 18:00:00,  16
2014-05-16 18:15:00,  16
2014-05-16 18:30:00,   8
2014-05-16 18:45:00,  16
2014-05-16 19:00:00,  22
2014-05-16 19:15:00,   8
2014-05-16 19:30:00,  10
2014-05-16 19:45:00,  26
2014-05-16 20:00:00,  18
2014-05-16 20:15:00,  16
2014-05-16 20:30:00,  18
2014-05-16 20:45:00,  26
2014-05-16 21:00:00,  14
2014-05-16 21:15:00,  22
2014-05-16 21:30:00,  32
2014-05-16 21:45:00,  34
2014-05-16 22:00:00,  28
2014-05-16 22:15:00,  20
2014-05-16 22:30:00,  34
2014-05-16 22:45:00,  34
2014-05-16 23:00:00,  40
2014-05-16 23:15:00,  18
2014-05-16 23:30:00,  22
2014-05-16 23:45:00,  20
2014-05-17 00:00:00,  30
2014-05-17 00:15:00,  12
2014-05-17 00:30:00,  32
2014-05-17 00:45:00,   6
2014-05-17 01:00:00,  16
2014-05-17 01:15:00,   6
2014-05-17 01:30:00,  16
2014-05-17 01:45:00,  18
2014-05-17 02:00:00,  10
2014-05-17 02:15:00,   8
2014-05-17 02:30:00,   4
2014-05-17 02:45:00,   6
2014-05-17 03:00:00,   8
2014-05-17 03:15:00,   6
2014-05-17 03:30:00,   4
2014-05-17 03:45:00,   2
2014-05-17 04:00:00,   2
2014-05-17 04:15:00,   2
2014-05-17 04:30:00,   8
2014-05-17 04:45:00,   2
2014-05-17 05:00:00,   6
2014-05-17 05:15:00,   4
2014-05-17 05:30:00,   2
2014-05-17 05:45:00,   2
2014-05-17 06:00:00,   4
2014-05-17 06:15:00,   0
2014-05-17 06:30:00,   2
2014-05-17 06:45:00,   4
2014-05-17 07:00:00,   2
2014-05-17 07:15:00,   0
2014-05-17 07:30:00,   2
2014-05-17 07:45:00,  10
2014-05-17 08:00:00,   6
2014-05-17 08:15:00,  12
2014-05-17 08:30:00,   8
2014-05-17 08:45:00,   0
2014-05-17 09:00:00,   0
2014-05-17 09:15:00,   2
2014-05-17 09:30:00,  14
2014-05-17 09:45:00,  12
2014-05-17 10:00:00,  18
2014-05-17 10:15:00,  12
2014-05-17 10:30:00,  24
2014-05-17 10:45:00,  20
2014-05-17 11:00:00,  38
2014-05-17 11:15:00,  24
2014-05-17 11:30:00,  30
2014-05-17 11:45:00,  16
2014-05-17 12:00:00,  22
2014-05-17 12:15:00,  18
2014-05-17 12:30:00,  26
2014-05-17 12:45:00,  20
2014-05-17 13:00:00,  26
2014-05-17 13:15:00,  18
2014-05-17 13:30:00,  24
2014-05-17 13:45:00,  22
2014-05-17 14:00:00,  44
2014-05-17 14:15:00,  28
2014-05-17 14:30:00,  34
2014-05-17 14:45:00,  24
2014-05-17 15:00:00,  34
2014-05-17 15:15:00,  34
2014-05-17 15:30:00,  40
2014-05-17 15:45:00,  24
2014-05-17 16:00:00,  28
2014-05-17 16:15:00,  22
2014-05-17 16:30:00,  12
2014-05-17 16:45:00,  20
2014-05-17 17:00:00,   4
2014-05-17 17:15:00,  10
2014-05-17 17:30:00,  12
2014-05-17 17:45:00,  14
2014-05-17 18:00:00,   6
2014-05-17 18:15:00,  10
2014-05-17 18:30:00,  20
2014-05-17 18:45:00,  12
2014-05-17 19:00:00,  16
2014-05-17 19:15:00,  12
2014-05-17 19:30:00,   8
2014-05-17 19:45:00,   6
2014-05-17 20:00:00,  12
2014-05-17 20:15:00,  10
2014-05-17 20:30:00,  10
2014-05-17 20:45:00,  18
2014-05-17 21:00:00,  16
2014-05-17 21:15:00,  16
2014-05-17 21:30:00,  20
2014-05-17 21:45:00,  16
2014-05-17 22:00:00,  30
2014-05-17 22:15:00,  44
2014-05-17 22:30:00,  24
2014-05-17 22:45:00,   0
2014-05-17 23:00:00,   0
2014-05-17 23:15:00,  24
2014-05-17 23:30:00,  28
2014-05-17 23:45:00,  18
2014-05-18 00:00:00,  28
2014-05-18 00:15:00,  28
2014-05-18 00:30:00,  20
2014-05-18 00:45:00,  14
2014-05-18 01:00:00,   2
2014-05-18 01:15:00,   8
2014-05-18 01:30:00,  16
2014-05-18 01:45:00,   8
2014-05-18 02:00:00,   6
2014-05-18 02:15:00,  18
2014-05-18 02:30:00,   8
2014-05-18 02:45:00,   4
2014-05-18 03:00:00,   6
2014-05-18 03:15:00,   8
2014-05-18 03:30:00,   4
2014-05-18 03:45:00,   6
2014-05-18 04:00:00,   8
2014-05-18 04:15:00,   0
2014-05-18 04:30:00,   6
2014-05-18 04:45:00,   6
2014-05-18 05:00:00,   2
2014-05-18 05:15:00,   0
2014-05-18 05:30:00,   4
2014-05-18 05:45:00,   2
2014-05-18 06:00:00,   2
2014-05-18 06:15:00,   4
2014-05-18 06:30:00,   4
2014-05-18 06:45:00,   0
2014-05-18 07:00:00,   2
2014-05-18 07:15:00,   2
2014-05-18 07:30:00,   0
2014-05-18 07:45:00,   6
2014-05-18 08:00:00,   4
2014-05-18 08:15:00,   6
2014-05-18 08:30:00,   2
2014-05-18 08:45:00,   0
2014-05-18 09:00:00,   0
2014-05-18 09:15:00,   0
2014-05-18 09:30:00,  10
2014-05-18 09:45:00,   4
2014-05-18 10:00:00,   6
2014-05-18 10:15:00,  12
2014-05-18 10:30:00,   4
2014-05-18 10:45:00,   6
2014-05-18 11:00:00,  10
2014-05-18 11:15:00,  10
2014-05-18 11:30:00,  14
2014-05-18 11:45:00,  16
2014-05-18 12:00:00,  10
2014-05-18 12:15:00,   2
2014-05-18 12:30:00,  16
2014-05-18 12:45:00,  16
2014-05-18 13:00:00,  18
2014-05-18 13:15:00,   8
2014-05-18 13:30:00,  10
2014-05-18 13:45:00,  18
2014-05-18 14:00:00,  12
2014-05-18 14:15:00,  14
2014-05-18 14:30:00,  10
2014-05-18 14:45:00,  12
2014-05-18 15:00:00,  12
2014-05-18 15:15:00,  18
2014-05-18 15:30:00,  12
2014-05-18 15:45:00,  12
2014-05-18 16:00:00,  10
2014-05-18 16:15:00,  12
2014-05-18 16:30:00,  10
2014-05-18 16:45:00,  18
2014-05-18 17:00:00,   0
2014-05-18 17:15:00,   4
2014-05-18 17:30:00,   8
2014-05-18 17:45:00,   6
2014-05-18 18:00:00,   6
2014-05-18 18:15:00,   6
2014-05-18 18:30:00,   6
2014-05-18 18:45:00,  14
2014-05-18 19:00:00,   4
2014-05-18 19:15:00,   0
2014-05-18 19:30:00,   6
2014-05-18 19:45:00,   8
2014-05-18 20:00:00,   8
2014-05-18 20:15:00,  18
2014-05-18 20:30:00,  14
2014-05-18 20:45:00,  14
2014-05-18 21:00:00,  18
2014-05-18 21:15:00,  18
2014-05-18 21:30:00,  24
2014-05-18 21:45:00,  44
2014-05-18 22:00:00,  34
2014-05-18 22:15:00,  26
2014-05-18 22:30:00,  32
2014-05-18 22:45:00,  30
2014-05-18 23:00:00,  32
2014-05-18 23:15:00,  24
2014-05-18 23:30:00,  20
2014-05-18 23:45:00,  12
2014-05-19 00:00:00,  22
2014-05-19 00:15:00,  12
2014-05-19 00:30:00,  10
2014-05-19 00:45:00,   6
2014-05-19 01:00:00,   8
2014-05-19 01:15:00,   8
2014-05-19 01:30:00,   4
2014-05-19 01:45:00,   6
2014-05-19 02:00:00,  10
2014-05-19 02:15:00,   8
2014-05-19 02:30:00,   4
2014-05-19 02:45:00,  14
2014-05-19 03:00:00,  10
2014-05-19 03:15:00,   6
2014-05-19 03:30:00,   2
2014-05-19 03:45:00,   4
2014-05-19 04:00:00,   0
2014-05-19 04:15:00,   0
2014-05-19 04:30:00,   0
2014-05-19 04:45:00,   0
2014-05-19 05:00:00,   2
2014-05-19 05:15:00,   2
2014-05-19 05:30:00,   0
2014-05-19 05:45:00,   0
2014-05-19 06:00:00,   0
2014-05-19 06:15:00,   2
2014-05-19 06:30:00,   0
2014-05-19 06:45:00,   2
2014-05-19 07:00:00,   0
2014-05-19 07:15:00,   2
2014-05-19 07:30:00,   2
2014-05-19 07:45:00,  12
2014-05-19 08:00:00,   4
2014-05-19 08:15:00,   4
2014-05-19 08:30:00,  16
2014-05-19 08:45:00,  36
2014-05-19 09:00:00,  38
2014-05-19 09:15:00,  34
2014-05-19 09:30:00,  24
2014-05-19 09:45:00,  48
2014-05-19 10:00:00,  34
2014-05-19 10:15:00,  28
2014-05-19 10:30:00,  22
2014-05-19 10:45:00,  48
2014-05-19 11:00:00,  44
2014-05-19 11:15:00,  30
2014-05-19 11:30:00,  20
2014-05-19 11:45:00,  30
2014-05-19 12:00:00,  28
2014-05-19 12:15:00,  40
2014-05-19 12:30:00,  18
2014-05-19 12:45:00,  22
2014-05-19 13:00:00,  18
2014-05-19 13:15:00,  22
2014-05-19 13:30:00,  20
2014-05-19 13:45:00,  28
2014-05-19 14:00:00,  22
2014-05-19 14:15:00,  12
2014-05-19 14:30:00,  34
2014-05-19 14:45:00,  42
2014-05-19 15:00:00,  20
2014-05-19 15:15:00,  26
2014-05-19 15:30:00,  32
2014-05-19 15:45:00,  28
2014-05-19 16:00:00,  30
2014-05-19 16:15:00,  36
2014-05-19 16:30:00,  40
2014-05-19 16:45:00,  18
2014-05-19 17:00:00,  36
2014-05-19 17:15:00,  18
2014-05-19 17:30:00,  26
2014-05-19 17:45:00,  18
2014-05-19 18:00:00,  14
2014-05-19 18:15:00,  14
2014-05-19 18:30:00,  14
2014-05-19 18:45:00,  16
2014-05-19 19:00:00,  22
2014-05-19 19:15:00,  32
2014-05-19 19:30:00,  24
2014-05-19 19:45:00,  32
2014-05-19 20:00:00,  22
2014-05-19 20:15:00,  26
2014-05-19 20:30:00,  30
2014-05-19 20:45:00,  40
2014-05-19 21:00:00,  28
2014-05-19 21:15:00,  42
2014-05-19 21:30:00,  36
2014-05-19 21:45:00,  22
2014-05-19 22:00:00,  36
2014-05-19 22:15:00,  26
2014-05-19 22:30:00,  40
2014-05-19 22:45:00,  24
2014-05-19 23:00:00,  40
2014-05-19 23:15:00,  28
2014-05-19 23:30:00,  22
2014-05-19 23:45:00,  10
2014-05-20 00:00:00,  22
2014-05-20 00:15:00,  18
2014-05-20 00:30:00,   6
2014-05-20 00:45:00,   4
2014-05-20 01:00:00,   8
2014-05-20 01:15:00,   8
2014-05-20 01:30:00,  14
2014-05-20 01:45:00,   8
2014-05-20 02:00:00,   4
2014-05-20 02:15:00,   4
2014-05-20 02:30:00,   4
2014-05-20 02:45:00,   4
2014-05-20 03:00:00,   0
2014-05-20 03:15:00,   0
2014-05-20 03:30:00,   4
2014-05-20 03:45:00,   2
2014-05-20 04:00:00,   4
2014-05-20 04:15:00,   0
2014-05-20 04:30:00,   0
2014-05-20 04:45:00,   0
2014-05-20 05:00:00,   0
2014-05-20 05:15:00,   0
2014-05-20 05:30:00,   0
2014-05-20 05:45:00,   0
2014-05-20 06:00:00,   0
2014-05-20 06:15:00,   0
2014-05-20 06:30:00,   0
2014-05-20 06:45:00,   2
2014-05-20 07:00:00,   0
2014-05-20 07:15:00,   4
2014-05-20 07:30:00,   2
2014-05-20 07:45:00,   6
2014-05-20 08:00:00,   4
2014-05-20 08:15:00,   2
2014-05-20 08:30:00,  12
2014-05-20 08:45:00,  20
2014-05-20 09:00:00,  20
2014-05-20 09:15:00,  26
